Year Month Daylength PotET SnowMelt Runoff SoilMoistStor
1960 1 9.33255896071047 0.485396702938705 0.0 15.0 193.65415639706129
1960 2 10.507190826128427 0.5910393736742446 0.0 16.231628632632574 200.0
1960 3 11.991759950871064 0.9096561912504415 0.0 15.0 181.85634650874957
1960 4 13.65051396297922 2.4994742092651108 0.0 15.0 195.9580796907349
1960 5 15.050936226789666 3.5698727479550008 0.0 24.7023908252045 200.0
1960 6 15.799406660430348 5.712990366313227 0.0 16.89630197336868 200.0
1960 7 15.442932668826764 5.796111490200618 0.0 24.601123150979937 200.0
1960 8 14.182514991311116 5.005974848765151 0.0 18.307557575123486 200.0
1960 9 12.557289510138974 3.2670720463217036 0.0 15.73542582536783 200.0
1960 1 9.33255896071047 1.2430207984182116 0.0 21.43834132015818 200.0
1960 11 9.604174654535178 0.8419030910566985 0.0 15.0 162.5918747089433
1960 12 8.957607286548047 0.45931876932901794 0.0 18.400978223067096 200.0
1961 1 9.33255896071047 0.471481669253646 0.0 15.0 159.54740773074636
1961 2 10.507190826128427 0.7788518295960121 0.0 15.0 192.76803847040398
1961 3 11.991759950871064 1.33942075136893 0.0 18.863301424863106 200.0
1961 4 13.65051396297922 2.1644779874948274 0.0 15.0 174.87241011250518
1961 5 15.050936226789666 3.661193239956442 0.0 21.98674777600436 200.0
1961 6 15.799406660430348 5.099160332383059 0.0 20.651972866761696 200.0
1961 7 15.442932668826764 5.751914123103216 0.0 22.77674338768968 200.0
1961 8 14.182514991311116 4.654880319859371 0.0 17.978601478014067 200.0
1961 9 12.557289510138974 2.835700843451055 0.0 23.7993187156549 200.0
1961 1 9.33255896071047 1.1732227437626055 0.0 16.52901103562374 200.0
1961 11 9.604174654535178 0.719364648531155 0.0 19.323241755146885 200.0
1961 12 8.957607286548047 0.4556419960904171 0.0 15.0 190.49480130390958
1962 1 9.33255896071047 0.41953703753291854 0.0 15.0 178.81868506246707
1962 2 10.507190826128427 0.8379175712907295 0.0 15.0 173.23563742870925
1962 3 11.991759950871064 1.161679530317592 0.0 15.0 188.2647654696824
1962 4 13.65051396297922 2.167794066004884 0.0 17.095598523399513 200.0
1962 5 15.050936226789666 4.592190665214654 0.0 15.0 193.63959033478534
1962 6 15.799406660430348 5.229602581069319 0.0 27.841239541893074 200.0
1962 7 15.442932668826764 6.245220719750624 0.0 17.85907854802494 200.0
1962 8 14.182514991311116 5.305823261481732 0.0 15.0 187.81773473851825
1962 9 12.557289510138974 2.9531057599275385 0.0 24.31533392400725 200.0
1962 1 9.33255896071047 1.2792169580666606 0.0 18.468566494193336 200.0
1962 11 9.604174654535178 0.7964553750529025 0.0 15.0 195.12110142494708
1962 12 8.957607286548047 0.5201552258562898 0.0 15.0 180.6653992741437
1963 1 9.33255896071047 0.0 0.0 15.0 150.0
1963 2 10.507190826128427 0.7225658127497464 0.0 15.0 155.85321123725026
1963 3 11.991759950871064 1.4343953142508876 0.0 15.506648968574911 200.0
1963 4 13.65051396297922 2.6736338977242156 0.0 15.81734807022758 200.0
1963 5 15.050936226789666 4.109780222876618 0.0 15.445133127712339 200.0
1963 6 15.799406660430348 6.002121641654714 0.0 17.18629906583453 200.0
1963 7 15.442932668826764 6.718840549606294 0.0 19.18613825503937 200.0
1963 8 14.182514991311116 5.50649648551159 0.0 15.0 183.52483361448841
1963 9 12.557289510138974 3.323825764903334 0.0 15.086284263509668 200.0
1963 1 9.33255896071047 1.5430777429949951 0.0 15.0 166.99892205700502
1963 11 9.604174654535178 0.8601415017759746 0.0 15.0 191.33207349822402
1963 12 8.957607286548047 0.3927658761572887 0.0 15.0 176.44656862384272
1964 1 9.33255896071047 0.5482165271405588 0.0 15.0 167.76800467285943
1964 2 10.507190826128427 0.6521278914938549 0.0 15.215164790850615 200.0
1964 3 11.991759950871064 1.1715019325097271 0.0 15.736138456749027 200.0
1964 4 13.65051396297922 2.5940079214820693 0.0 16.714310607851793 200.0
1964 5 15.050936226789666 4.078441718517752 0.0 22.27804522814823 200.0
1964 6 15.799406660430348 5.662923263101979 0.0 16.853330473689805 200.0
1964 7 15.442932668826764 7.023843216622596 0.0 15.0 166.0054898833774
1964 8 14.182514991311116 5.227218535236531 0.0 22.535701046476348 200.0
1964 9 12.557289510138974 3.020545294927809 0.0 20.09218987050722 200.0
1964 1 9.33255896071047 1.0896869494213277 0.0 15.0 173.35075605057867
1964 11 9.604174654535178 0.8512990192788139 0.0 23.25833629807212 200.0
1964 12 8.957607286548047 0.48367399565348246 0.0 15.0 175.4243250043465
1965 1 9.33255896071047 0.5594500150118378 0.0 15.0 184.57721528498814
1965 2 10.507190826128427 0.6927782212189252 0.0 15.0 190.2576650787811
1965 3 11.991759950871064 0.9034111763998669 0.0 15.0 183.75347972360015
1965 4 13.65051396297922 2.6512169284179814 0.0 16.234455637158202 200.0
1965 5 15.050936226789666 4.013409827044447 0.0 20.60532561729556 200.0
1965 6 15.799406660430348 5.441948477049085 0.0 20.561248752295093 200.0
1965 7 15.442932668826764 6.54123260476936 0.0 15.0 194.06121489523065
1965 8 14.182514991311116 5.002145566938861 0.0 18.257140943306116 200.0
1965 9 12.557289510138974 3.102558958687229 0.0 22.77356520413128 200.0
1965 1 9.33255896071047 1.1448353947462575 0.0 15.0 191.18849670525373
1965 11 9.604174654535178 0.9596356291662846 0.0 15.0 161.4863654708337
1965 12 8.957607286548047 0.610626403959712 0.0 15.0 195.5327069960403
1966 1 9.33255896071047 0.4237325020043241 0.0 15.0 178.05249049799568
1966 2 10.507190826128427 0.6506321462569764 0.0 15.988603475374303 200.0
